"No.","Radio ID","Name","Call Type","Call Alert"
"1","9","TG 9 LOKAL TS2","Group Call","None"
"2","293","293 SLO TS1","Group Call","None"
"3","91","91 World Wide","Group Call","None"
"4","92","92 Europa","Group Call","None"
"5","4000","4000 Exit","Group Call","None"
"6","2931","2931 Osrednja","Group Call","None"
"7","2932","2932 Vzh. Stajerska","Group Call","None"
"8","2933","2933 Zah. Stajerska","Group Call","None"
"9","2934","2934 Gorenjska","Group Call","None"
"10","2935","2935 Goriska","Group Call","None"
"11","2936","2936 Obalna","Group Call","None"
"12","2937","2937 Dolenjska","Group Call","None"
"13","2938","2938 Pomurska","Group Call","None"
"14","2939","2939 Podravska","Group Call","None"
"15","29310","29310 Notranjska","Group Call","None"
"16","29311","29311 Posavska","Group Call","None"
"17","29312","29312 Koroska","Group Call","None"
"18","29313","29313 Zasavska","Group Call","None"
"19","29314","TG 29314","Group Call","None"
"20","29315","TG 29315","Group Call","None"
"21","293112","293112 ARON","Group Call","None"
"22","293999","APRS","Private Call","None"
"23","9990","PARROT","Private Call","None"